rowid,pl_letter,pl_pnum,pl_orbper,pl_bmassj,pl_radj,pl_ttvflag,ra,dec,st_optmag,st_teff,st_mass,st_rad
2984,b,1,5.69919514,,0.11,FALSE,292.584443,49.923161,13.069,5715,1,0.94
2985,b,1,18.11472949,,0.223,FALSE,288.661559,49.737206,12.841,6187,1.21,1.35
2986,b,1,6.24146367,,0.136,FALSE,286.271745,43.595234,13.939,6098,1.1,1.16
2987,b,2,20.42228798,,0.164,FALSE,290.090807,39.816989,13.47,6194,1.19,1.29
2988,c,2,7.63846023,,0.101,FALSE,290.090807,39.816989,13.47,6194,1.19,1.29
2989,b,1,70.6979061,,0.157,FALSE,295.521206,49.738632,13.046,5875,0.97,0.9
2990,b,1,3.744439,,0.097,FALSE,291.467319,50.759489,12.71,5961,1.14,1.25
2991,b,1,52.75875577,,0.793,FALSE,288.435745,43.763496,15.182,5954,1.09,1.13
2992,b,1,53.44945593,,0.572,FALSE,291.083797,40.355255,15.287,5887,1.06,1.07
2993,b,1,13.7521072,,0.251,FALSE,283.129641,43.888241,15.587,4747,0.75,0.72
2994,b,1,6.33855761,,0.27,FALSE,284.963031,43.913006,15.182,5820,1,0.99
2995,b,1,9.803224,,0.248,FALSE,288.734088,46.939396,15.439,5603,0.87,0.85
2996,b,1,2.80624233,,0.137,FALSE,289.290653,51.408891,15.988,4315,0.65,0.61
2997,b,1,144.547396,,0.226,FALSE,282.439182,43.734486,15.481,5262,0.84,0.81
2998,b,1,8.0472642,,0.213,FALSE,290.586837,51.69582,15.068,5839,1.03,1.04
2999,b,1,5.8706191,,0.133,FALSE,286.585389,46.87093,15.961,4223,0.65,0.62
3000,b,1,19.17891293,,0.239,FALSE,297.48258,40.68078,15.401,5595,0.93,0.91
3001,b,3,19.24,0.252,0.842,TRUE,285.573981,38.400892,13.803,5777,1.07,1.02
3002,c,3,38.91,0.171,0.823,TRUE,285.573981,38.400892,13.803,5777,1.07,1.02
3003,d,3,1.592851,,0.146,FALSE,285.573981,38.400892,13.803,5777,1.07,1.02
3004,b,1,6.9913086,,0.186,FALSE,296.177297,46.99902,14.94,4836,0.78,0.73
3005,b,1,3.51749439,,0.122,FALSE,291.152951,40.887497,14.699,4184,0.59,0.57
3006,b,1,40.1099547,,0.227,FALSE,289.731692,46.953823,14.904,5647,0.95,0.93
3007,b,2,10.3507721,,0.179,FALSE,288.771018,40.664176,14.659,5682,0.98,0.97
3008,c,2,62.9228557,,0.226,FALSE,288.771018,40.664176,14.659,5682,0.98,0.97
3009,b,1,3.02166863,,0.158,FALSE,288.822916,40.389049,14.429,6160,1.16,1.25
3010,b,1,5.08274652,,0.126,FALSE,290.051123,46.713375,13.984,5461,0.95,0.86
3011,b,1,41.6979976,,0.188,FALSE,291.405561,40.125487,13.956,6035,1.06,1.02
3012,b,1,15.86621821,,0.107,FALSE,285.476589,41.63274,11.049,6106,1.08,1.38
3013,b,1,1.34059747,,0.109,FALSE,295.322517,39.376484,11.524,5973,1.11,1.12
3014,b,1,13.93290318,,0.131,FALSE,289.506358,45.370998,11.538,6154,1.17,1.23
3015,b,1,6.24658,0.81,1.367,FALSE,285.672872,44.116734,12.495,4550,1.31,6.3
3016,b,1,2.36436901,,0.073,FALSE,296.047358,42.743006,11.6,6230,1.26,1.5
3017,b,1,20.310501,,0.232,FALSE,298.589186,40.750689,11.855,6112,1.34,1.99
3018,b,1,2.53475627,,0.25,FALSE,298.111206,41.758333,15.341,5998,1.07,1.11
3019,b,1,10.29672521,,0.184,FALSE,297.583122,41.952431,15.767,4687,0.63,0.61
3020,b,1,4.40966548,,0.123,FALSE,290.412001,44.89933,13.574,5877,1.1,1.15
3021,b,1,4.59489604,,0.134,FALSE,290.592077,45.737137,13.298,6173,1.21,1.38
3022,b,1,32.2968798,,0.157,FALSE,290.983322,45.973301,15.2,5248,0.85,0.81
3023,b,1,2.97041437,,0.17,FALSE,299.05126,47.949284,15.759,5418,0.8,0.76
3024,b,1,4.85386933,,0.155,FALSE,298.200719,48.267838,14.971,6028,1.11,1.14
3025,b,1,11.04603384,,0.201,FALSE,298.114772,48.494404,14.681,6113,1.15,1.21
3026,b,3,13.749,0.202,0.313,FALSE,289.086058,41.562941,11.565,5883,1.21,1.7
3027,c,3,26.723,0.019,0.232,FALSE,289.086058,41.562941,11.565,5883,1.21,1.7
3028,d,3,49.3568,,0.184,FALSE,289.086058,41.562941,11.565,5883,1.21,1.7
3029,b,2,6.53192704,,0.216,FALSE,284.296949,49.158676,15.28,5403,0.89,0.85
3030,c,2,100.8274113,,0.339,FALSE,284.296949,49.158676,15.28,5403,0.89,0.85
3031,b,1,51.300634,,0.256,FALSE,284.616205,49.190811,14.739,5663,0.93,0.91
3032,b,1,0.93846683,,0.127,FALSE,284.731462,49.533195,13.757,5671,0.95,0.93
3033,b,1,6.93366476,,0.123,FALSE,294.171085,40.055165,14.042,5988,1.11,1.26
3034,b,1,61.0370117,,0.274,FALSE,290.668512,40.397718,14.171,6167,1.14,1.23
3035,b,1,33.8678531,,0.209,FALSE,290.106539,40.490657,15.81,4673,0.77,0.72
3036,b,1,52.0688601,,0.206,FALSE,289.679343,40.700466,14.279,5806,1.01,1.01
3037,b,1,9.1149903,,0.153,FALSE,289.38351,41.392695,14.63,5743,0.99,0.99
3038,b,1,3.9324613,,0.142,FALSE,289.920717,41.542828,15.32,4700,0.73,0.7
3039,b,1,0.92103214,,0.099,FALSE,298.481124,41.615332,14.542,5869,1.01,1.02
3040,b,2,4.72673978,0.01265,0.132,FALSE,291.418281,38.672354,9.931,5669,0.91,0.92
3041,c,2,1460,3,,FALSE,291.418281,38.672354,9.931,5669,0.91,0.92
3042,b,1,71.4517775,,0.19,FALSE,298.314444,42.247434,13.781,6335,1.25,1.4
